ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,TIPO
16999,AREA INFANTIL,75,RIOS ROSAS,7,CHAMBERI,OPERATIVO,440770.993,4477526.886,ETRS89,40.44628766,-3.69844096,CALLE,RAIMUNDO FERNANDEZ VILLAVERDE,34,28003,"C  CALLE RAIMUNDO FERNANDEZ VILLAVERDE , ASCENDI",11042256,16999-FECHA_INSTALACION-ausente,7018,AE21,16,INFANTIL
17002,AREA INFANTIL,73,TRAFALGAR,7,CHAMBERI,OPERATIVO,440314.942,4475926.257,ETRS89,40.43183588,-3.70366807,CALLE,FUENCARRAL,133,28010,"C  CALLE FUENCARRAL 131-147 , ASCENDIENTE 1: 073",11039962,17002-FECHA_INSTALACION-ausente,7020,AE21,8,INFANTIL
17004,AREA INFANTIL,72,ARAPILES,7,CHAMBERI,OPERATIVO,440014.95,4476083.25,ETRS89,40.43322856,-3.70721945,CALLE,ARAPILES,12,28015,17004-DIRECCION_AUX-ausente,11039612,17004-FECHA_INSTALACION-ausente,7022,AE21,6,INFANTIL
17008,AREA INFANTIL,81,EL PARDO,8,FUENCARRAL - EL PARDO,OPERATIVO,433924.24,4487320.78,ETRS89,40.53399706,-3.78019371,CALLE,FORTALEZA,57,28048,"CALLE FORTALEZA 57 , ASCENDIENTE 1: 081  EL",11043108,2006-01-25T00:00:00,8001,AE21,8,INFANTIL
17010,AREA INFANTIL,81,EL PARDO,8,FUENCARRAL - EL PARDO,OPERATIVO,434331.35,4485327.43,ETRS89,40.51607301,-3.77518024,CALLE,BRUNETE,15,28048,"CALLE BRUNETE , ASCENDIENTE 1: 081  EL PARDO",31017756,2004-09-13T00:00:00,8003,AE21,13,INFANTIL
17012,AREA INFANTIL,81,EL PARDO,8,FUENCARRAL - EL PARDO,OPERATIVO,434275.35,4485730.32,ETRS89,40.51969787,-3.77588307,AVENIDA,GUARDIA,27,28048,"PARQUE MAR OCEANA , ASCENDIENTE 1: 081  EL",31008003,17012-FECHA_INSTALACION-ausente,8006,AE21,4,INFANTIL
17014,AREA INFANTIL,86,VALVERDE,8,FUENCARRAL - EL PARDO,OPERATIVO,441533.68,4483503.3,ETRS89,40.50017963,-3.6899987,RONDA,INGENIOSO HIDALGO,189,28034,"CALLE ALDONZA LORENZO 187 , ASCENDIENTE 1: 08",20052385,17014-FECHA_INSTALACION-ausente,8009,AE21,9,INFANTIL
17016,AREA INFANTIL,86,VALVERDE,8,FUENCARRAL - EL PARDO,OPERATIVO,441497.03,4483500.43,ETRS89,40.50015119,-3.69043094,CALLE,ALDONZA LORENZO,19,28034,"CALLE ALDONZA LORENZO , ASCENDIENTE 1: 086 ",20072344,2006-01-09T00:00:00,8010,AE21,11,INFANTIL
17018,AREA INFANTIL,86,VALVERDE,8,FUENCARRAL - EL PARDO,OPERATIVO,441505.06,4483662.25,ETRS89,40.50160949,-3.69035112,PLAZA,TRES OLIVOS,3,28034,"PLAZA LOS TRES OLIVOS , ASCENDIENTE 1: 086",20136196,2007-02-14T00:00:00,8012,AE21,7,INFANTIL
17020,AREA INFANTIL,86,VALVERDE,8,FUENCARRAL - EL PARDO,OPERATIVO,441300.5,4483725.99,ETRS89,40.50216924,-3.69277106,CALLE,ALONSO QUIJANO,52,28034,"CALLE ALONSO QUIJANO , ASCENDIENTE 1: 086  V",20076777,2004-09-13T00:00:00,8015,AE21,6,INFANTIL
17022,AREA INFANTIL,83,PENAGRANDE,8,FUENCARRAL - EL PARDO,OPERATIVO,438764.47,4480422.756,ETRS89,40.47222935,-3.72237993,CALLE,JOAQUIN LORENZO,2,28035,"CALLE ISLA MALAITA , ASCENDIENTE 1: 083  PEN",31040763,2005-04-11T00:00:00,8017,AE21,11,INFANTIL
17024,AREA INFANTIL,86,VALVERDE,8,FUENCARRAL - EL PARDO,OPERATIVO,441062.19,4482789.52,ETRS89,40.49371629,-3.69549627,CALLE,BADALONA,106,28034,"CALLE BADALONA 106 , ASCENDIENTE 1: 086  VAL",11048449,2005-10-03T00:00:00,8019,AE21,6,INFANTIL
17027,AREA INFANTIL,86,VALVERDE,8,FUENCARRAL - EL PARDO,OPERATIVO,440976.68,4482669.01,ETRS89,40.49262461,-3.69649404,CALLE,SABADELL,178,28034,"CALLE SABADELL 178 , ASCENDIENTE 1: 086  VAL",11048184,2006-01-09T00:00:00,8021,AE21,7,INFANTIL
17029,AREA INFANTIL,83,PENAGRANDE,8,FUENCARRAL - EL PARDO,OPERATIVO,438488.99,4481864.38,ETRS89,40.48519562,-3.72576929,CALLE,VALLE DE PINARES LLANOS,76,28035,"CALLE PINARES LLANOS CON PENA DEL AGUILA (ZONA II), ASCENDIENTE 1: 083",20085703,17029-FECHA_INSTALACION-ausente,8025,AE21,12,INFANTIL
17031,AREA INFANTIL,87,MIRASIERRA,8,FUENCARRAL - EL PARDO,OPERATIVO,438893.11,4482118.89,ETRS89,40.48751817,-3.72102597,PLAZA,VALLE DE LA JAROSA,113,28035,"PLAZA VALLE DE LA JAROSA 113 CON PENA DEL CUERVO , ASCENDIENTE 1",20088984,17031-FECHA_INSTALACION-ausente,8029,AE21,7,INFANTIL
17033,AREA INFANTIL,87,MIRASIERRA,8,FUENCARRAL - EL PARDO,OPERATIVO,438744.11,4482251.46,ETRS89,40.48870142,-3.72279676,CALLE,VALLE DE ENMEDIO,91,28035,"CALLE VALLE DE ENMEDIO  , ASCENDIENTE 1: 087",20133321,17033-FECHA_INSTALACION-ausente,8030,AE21,11,INFANTIL
17035,AREA INFANTIL,87,MIRASIERRA,8,FUENCARRAL - EL PARDO,OPERATIVO,439242.4,4482090.44,ETRS89,40.48728752,-3.71690213,AVENIDA,VENTISQUERO DE LA CONDESA,13,28035,"AVENIDA VENTISQUERO DE LA CONDESA 13 CON CERRO MINGUETE, ASCEN",20085775,2007-02-15T00:00:00,8032,AE21,7,INFANTIL
17037,AREA INFANTIL,87,MIRASIERRA,8,FUENCARRAL - EL PARDO,OPERATIVO,438503.5,4482125.55,ETRS89,40.4875494,-3.72562344,CALLE,PENA DEL AGUILA,24,28035,"CALLE PENA DEL AGUILA CON PLAZA DE LA JAROSA, ASCENDIENTE 1: 087",20092979,2006-04-20T00:00:00,8034,AE21,7,INFANTIL
17039,AREA INFANTIL,83,PENAGRANDE,8,FUENCARRAL - EL PARDO,OPERATIVO,438831.87,4481815.22,ETRS89,40.4847781,-3.72171921,PLAZA,PENA HORCAJO,8,28035,"CALLE RISCOS DE POLANCO  CON PENA HORCAJO, ASCENDIENTE 1: 083",20073920,17039-FECHA_INSTALACION-ausente,8036,AE21,6,INFANTIL
17041,AREA INFANTIL,83,PENAGRANDE,8,FUENCARRAL - EL PARDO,OPERATIVO,438756.69,4481516.11,ETRS89,40.48207808,-3.72257729,CALLE,RAMON GOMEZ DE LA SERNA,12,28035,"CALLE RAMON GOMEZ DE LA SERNA FRENTE A CALLE JULIO CALVO No12-14, ASCENDIENTE 1",20097801,17041-FECHA_INSTALACION-ausente,8039,AE21,12,INFANTIL
17043,AREA INFANTIL,83,PENAGRANDE,8,FUENCARRAL - EL PARDO,OPERATIVO,438658.96,4481644.98,ETRS89,40.48323177,-3.72374274,CALLE,RAMON GOMEZ DE LA SERNA,21,28035,"CALLE RAMON GOMEZ DE LA SERNA 21 , ASCENDIENT",11045387,2006-07-13T00:00:00,8040,AE21,6,INFANTIL
17045,AREA INFANTIL,86,VALVERDE,8,FUENCARRAL - EL PARDO,OPERATIVO,442014.576,4482471.869,ETRS89,40.49092185,-3.68422933,CALLE,ISLA DE JAVA,45,28034,"CALLE ISLA DE JAVA 45 , ASCENDIENTE 1: 086 ",11047552,2006-01-09T00:00:00,8043,AE21,10,INFANTIL
17047,AREA INFANTIL,86,VALVERDE,8,FUENCARRAL - EL PARDO,OPERATIVO,441297.42,4482667.57,ETRS89,40.49263439,-3.69270933,CALLE,BADALONA,31,28034,"CALLE BADALONA 25 , ASCENDIENTE 1: 086  VALV",11048026,2005-12-09T00:00:00,8047,AE21,7,INFANTIL
17048,AREA INFANTIL,85,LA PAZ,8,FUENCARRAL - EL PARDO,OPERATIVO,440461.27,4481805.46,ETRS89,40.48480863,-3.70249448,CALLE,SANGENJO,17,28034,"CALLE SANGENJO 17 , ASCENDIENTE 1: 085  LA P",11045848,2005-03-10T00:00:00,8049,AE21,10,INFANTIL
